collection,link_path,link_type,linking_record_sample,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b12,b16,b32,b64,b128,b256,b512,b1024,b4096,b16384,b65535,b262144,bmax
"app.bsky.feed.post",".embeds[app.bsky.embed.external].external.uri","uri","at://did:plc:k6acu4chiwkixvdedcmdgmal/app.bsky.feed.post/3lhttqzemcq2y",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.listitemview",".subject","did","at://did:plc:fa3gzsrpxumiwg7d3ev6igpt/app.bsky.graph.listitemview/3li5u6mlml52e",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"red.pinned.concept.bookmark",".uri","uri","at://did:plc:5uzszbdtpxkiqezww6g7s53o/red.pinned.concept.bookmark/3lgyii46td22g",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.newdin.storyline",".chaps[]","at-uri","at://did:plc:r4j4wcqlmel2qgepj2bkvq4i/com.newdin.storyline/173990185214",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.curlprojects.journal.experimental.testJournalEntry",".journal.uri","at-uri","",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.puddles.group.post",".group.uri","at-uri","at://did:plc:akf5vb5xpceiltp2jdzr32ql/app.puddles.group.post/3liosppmgyg2k",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".threadRoot","at-uri","at://did:plc:jlqchp3t56ah3jq4rbd5qkhf/app.bsky.feed.post/3lhrvxadid224",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].creator.viewer.blockingByList.uri","at-uri","at://did:plc:xxmxsyjag2ona6muzab55s3f/app.bsky.graph.starterpack/3lhkdba2kcr2f",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.reply.root.author.did","did","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".facets[].features[app.bsky.richtest.facet#link].uri","uri","at://did:plc:c7rslkre2eqoz3f6ivrtdhwe/app.bsky.feed.post/3li3y2nddz52o",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".skeetsAppHistory.data[].2025-02-01T21:22:51.957Z","uri","at://did:plc:6rkz7j633xvz2lelgmodfpie/app.bsky.feed.post/3lh5h3kdnyr26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.root.value.facets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.verdverm.test.record",".$hist[].uri","at-uri","at://did:plc:2jtyqespp2zfodukwvktqwe6/com.verdverm.test.record/3lhyrvefizt2b",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.value.facets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhsvjrwe2h25",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].creator.labels[].src","did","",298,74,31,9,8,8,6,2,1,1,5,11,13,7,5,4,1,1,1,0,0,0,0
"app.bsky.feed.post",".uri","uri","at://did:plc:n6bd7p4gsys6raec4eeff5do/app.bsky.feed.post/3lgzv57u7272e",105,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".skeetsAppHistory.data[].2025-02-07T14:16:10.051Z","uri","at://did:plc:ljqexd2ovaejoew2povsstvi/app.bsky.feed.post/3lhls23az6i2o",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.sonasky.ref",".character.refSheet","at-uri","at://did:plc:2ljvyttsagepb22qjie36csp/app.sonasky.ref/3lhdjbshu2k2v",123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.dislike",".subject.uri","at-uri","at://did:plc:vli2ospm2fndug3y4orl2o5p/app.bsky.feed.dislike/3lgy2dckaz62v",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.puddles.group.post",".reply.parent.uri","at-uri","at://did:plc:akf5vb5xpceiltp2jdzr32ql/app.puddles.group.post/3liosjmvcfd2p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.parent.parentUri","at-uri","at://did:plc:vhzquiqf6snti6n6qwgkseo3/app.bsky.feed.generator/aaalojidmal2u",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"us.polhem.flashcards.card",".deck","at-uri","at://did:plc:p5a4pydyirvdkmc3lhw2iykp/us.polhem.flashcards.card/3lfn3woa6342q",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chat.tinychat.core.membership",".server","at-uri","at://did:plc:ubdeopbbkbgedccgbum7dhsh/chat.tinychat.core.membership/3lhefvqlxf32b",1287,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.faisca.music",".albumCover","uri","at://did:plc:rbsrbl7koqfufypozf6yiyvb/app.faisca.music/3likqt5eewc23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue.badge.collection",".badge.uri","at-uri","at://did:plc:rgdcflm4ylsl6udghmtblydc/blue.badge.collection/3liorb57yve2o",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"app.bluvy.favorites",".posts[]","at-uri","at://did:plc:yz47u7jw457mzifjdk7ojanh/app.bluvy.favorites/user_favorites",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.sonasky.ref",".character.refSheet","uri","at://did:plc:dwbtr4psdwzaphf3bwnhfxo7/app.sonasky.ref/3lihvq6zblc2v",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".facets[].features[app.bsky.richtext.facet#tag].uri","uri","at://did:plc:gurxw3b5o6njiuqvugtjguvm/app.bsky.feed.post/3lhpd5gkvmi2q",11,2,4,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].creator.viewer.blocking","at-uri","at://did:plc:xxmxsyjag2ona6muzab55s3f/app.bsky.graph.starterpack/3lhkdba2kcr2f",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.forum.community",".moderators[]","did","at://did:plc:gus3rlkpebpdoyfsykgi457p/app.forum.community/3lid7wrnvf22n",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue.maril.stellar.reaction",".subject.uri","at-uri","at://did:plc:mou6t7mhh4ddhcake2a4d53r/blue.maril.stellar.reaction/3lgxyjsxfpk2w",71,16,7,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"exchange.recipe.collection",".recipes[].uri","at-uri","at://did:plc:26tsx5juuss4yealylyfbj4h/exchange.recipe.collection/01JMDR45SD6J9GVG9WX5W5JH20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
